Call_Date,Call_Time,province,district
19/09/2014,09:47:13,NORTH,BOMBALI
19/09/2014,09:47:25,WEST,WESTERN URBAN
19/09/2014,09:47:35,WEST,WESTERN URBAN
19/09/2014,09:47:54,WEST,WESTERN URBAN
19/09/2014,09:48:04,WEST,WESTERN RURAL
19/09/2014,09:48:07,WEST,WESTERN RURAL
19/09/2014,09:48:18,SOUTH,BO
19/09/2014,09:49:35,WEST,WESTERN URBAN
19/09/2014,09:49:48,SOUTH,MOYAMBA
19/09/2014,09:50:14,EAST,KONO
19/09/2014,09:50:56,WEST,WESTERN RURAL
19/09/2014,09:51:59,EAST,KENEMA
19/09/2014,09:52:11,EAST,KENEMA
19/09/2014,09:52:19,SOUTH,BO
19/09/2014,09:52:37,WEST,WESTERN URBAN
19/09/2014,09:52:54,NORTH,BOMBALI
19/09/2014,09:52:55,WEST,WESTERN URBAN
19/09/2014,09:53:37,WEST,WESTERN URBAN
19/09/2014,09:54:02,WEST,WESTERN URBAN
